id,name,description,image
1,Laptop Asus Gaming,Laptop gaming dengan processor Intel i7 RAM 16GB dan VGA RTX 3050,asus1.jpg
2,Laptop Acer Aspire,Laptop ringan untuk kerja dan kuliah dengan SSD cepat,acer1.jpg
3,Laptop Lenovo ThinkPad,Laptop bisnis dengan performa stabil dan keyboard nyaman,lenovo1.jpg
4,Laptop HP Pavilion,Laptop multimedia dengan layar full HD dan audio jernih,hp1.jpg
5,Laptop MSI Gaming,Laptop gaming dengan pendingin optimal dan performa tinggi,msi1.jpg
6,Laptop Dell Inspiron,Laptop harian untuk pekerjaan kantor dan belajar,dell1.jpg
7,Laptop Asus VivoBook,Laptop tipis ringan untuk mahasiswa dan pekerja,asus2.jpg
8,Laptop Acer Swift,Laptop ultrabook dengan desain premium dan baterai awet,acer2.jpg
9,Laptop Lenovo IdeaPad,Laptop ekonomis untuk kebutuhan harian,lenovo2.jpg
10,Laptop HP EliteBook,Laptop profesional dengan keamanan tinggi,hp2.jpg

11,Mouse Gaming RGB,Mouse gaming dengan DPI tinggi dan lampu RGB,mouse1.jpg
12,Mouse Wireless Logitech,Mouse tanpa kabel untuk produktivitas kantor,mouse2.jpg
13,Mouse Gaming SteelSeries,Mouse presisi tinggi untuk esports,mouse3.jpg
14,Mouse Office USB,Mouse sederhana untuk kebutuhan kantor,mouse4.jpg
15,Mouse Gaming Razer,Mouse gaming ergonomis dengan sensor akurat,mouse5.jpg

16,Keyboard Mechanical Blue Switch,Keyboard mechanical dengan suara klik khas,keyboard1.jpg
17,Keyboard Mechanical Red Switch,Keyboard mechanical linear untuk gaming,keyboard2.jpg
18,Keyboard Wireless,Keyboard tanpa kabel untuk meja kerja rapi,keyboard3.jpg
19,Keyboard Office USB,Keyboard standar untuk pengetikan harian,keyboard4.jpg
20,Keyboard Gaming RGB,Keyboard gaming dengan lampu RGB,keyboard5.jpg

21,Monitor LG 24 Inch,Monitor full HD dengan warna akurat,monitor1.jpg
22,Monitor Samsung Curved,Monitor lengkung untuk pengalaman visual imersif,monitor2.jpg
23,Monitor ASUS Gaming,Monitor refresh rate tinggi untuk gaming,monitor3.jpg
24,Monitor Dell Office,Monitor kantor dengan panel IPS,monitor4.jpg
25,Monitor Xiaomi,Monitor ekonomis dengan layar luas,monitor5.jpg

26,Headset Gaming HyperX,Headset gaming dengan suara surround,headset1.jpg
27,Headset Wireless Sony,Headset tanpa kabel dengan noise cancelling,headset2.jpg
28,Headset Gaming Razer,Headset gaming dengan microphone jernih,headset3.jpg
29,Headset Office Logitech,Headset untuk meeting online,headset4.jpg
30,Headset JBL,Headset musik dengan bass kuat,headset5.jpg

